"country","Description","rankedProduct","percentRevenue","percentUnits","unitRevGap"
Australia,MINI PAINT SET VINTAGE ,1,1.17,3.49,2.32
Australia,RABBIT NIGHT LIGHT,2,2.46,2.25,-0.21
Australia,RED  HARMONICA IN BOX ,3,1.32,2.04,0.72
Austria,SET 12 KIDS COLOUR  CHALK STICKS,1,1.02,5.97,4.95
Austria,MINI JIGSAW PURDEY,2,0.85,4.97,4.12
Austria,PACK OF 6 PANNETONE GIFT BOXES,3,2.98,2.98,0.00
Bahrain,ICE CREAM SUNDAE LIP GLOSS,1,21.88,36.92,15.04
Bahrain,DOUGHNUT LIP GLOSS ,2,13.68,23.08,9.40
Bahrain,GROW A FLYTRAP OR SUNFLOWER IN TIN,3,5.47,9.23,3.76
Belgium,PACK OF 72 RETROSPOT CAKE CASES,1,0.61,2.07,1.46
Belgium,ROUND SNACK BOXES SET OF4 WOODLAND ,2,2.89,1.81,-1.08
Belgium,PACK OF 60 SPACEBOY CAKE CASES,3,0.48,1.66,1.18
Brazil,SET/3 RED GINGHAM ROSE STORAGE BOX,1,7.11,6.74,-0.37
Brazil,SET OF 4 PANTRY JELLY MOULDS,2,2.62,6.74,4.12
Brazil,SET OF 6 SPICE TINS PANTRY DESIGN,3,7.24,6.74,-0.50
Canada,RETRO COFFEE MUGS ASSORTED,1,14.57,18.24,3.67
Canada,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2,1.65,10.42,8.77
Canada,COLOURING PENCILS BROWN TUBE,3,1.37,2.17,0.80
Channel Islands,RAIN PONCHO ,1,1.32,4.29,2.97
Channel Islands,JUMBO BAG RED RETROSPOT,2,2.29,2.64,0.35
Channel Islands,JUMBO BAG APPLES,3,1.99,2.32,0.33
Cyprus,HEART DECORATION PAINTED ZINC ,1,1.71,6.08,4.37
Cyprus,BOYS ALPHABET IRON ON PATCHES,2,0.47,4.56,4.09
Cyprus,GIRLS ALPHABET IRON ON PATCHES ,3,0.47,4.56,4.09
Czech Republic,WOODEN TREE CHRISTMAS SCANDINAVIAN,1,2.95,12.16,9.21
Czech Republic,WOODEN STAR CHRISTMAS SCANDINAVIAN,2,2.95,12.16,9.21
Czech Republic,CHRISTMAS TABLE SILVER CANDLE SPIKE,3,5.63,8.11,2.48
