"Country","customerType","percentofRevenue","percentofTransactions","percentofCustomers","avgOrderValue","totalRevenue","totalTransactions"
Australia,Casual,0.036,0.211,0.556,411.483,4937.80,12
Australia,Engaged,0.964,0.789,0.444,2968.522,133583.51,45
Austria,Casual,1.000,1.000,1.000,599.922,10198.68,17
Bahrain,Casual,1.000,1.000,1.000,274.200,548.40,2
Belgium,Casual,0.491,0.378,0.680,546.489,20220.09,37
Belgium,Engaged,0.509,0.622,0.320,343.873,20976.25,61
Brazil,Casual,1.000,1.000,1.000,1143.600,1143.60,1
Canada,Casual,1.000,1.000,1.000,611.063,3666.38,6
Channel Islands,Casual,0.541,0.500,0.778,850.442,11055.74,13
Channel Islands,Engaged,0.459,0.500,0.222,722.669,9394.70,13
Cyprus,Casual,1.000,1.000,1.000,849.399,13590.38,16
Czech Republic,Casual,1.000,1.000,1.000,413.370,826.74,2
Denmark,Casual,1.000,1.000,1.000,1053.074,18955.34,18
EIRE,Casual,0.016,0.015,0.333,1085.303,4341.21,4
EIRE,Engaged,0.984,0.985,0.667,1020.331,261204.69,256
European Community,Casual,1.000,1.000,1.000,325.063,1300.25,4
Finland,Casual,0.327,0.366,0.750,491.127,7366.90,15
Finland,Engaged,0.673,0.634,0.250,583.815,15179.18,26
France,Casual,0.283,0.311,0.690,488.047,59053.67,121
France,Engaged,0.717,0.689,0.310,559.591,149970.38,268
Germany,Casual,0.310,0.291,0.691,533.142,70907.90,133
Germany,Engaged,0.690,0.709,0.309,487.529,157959.24,324
Greece,Casual,1.000,1.000,1.000,952.104,4760.52,5
Iceland,Engaged,1.000,1.000,1.000,615.714,4310.00,7
Israel,Casual,1.000,1.000,1.000,1444.338,7221.69,5
Italy,Casual,0.555,0.368,0.786,693.381,9707.33,14
Italy,Engaged,0.445,0.632,0.214,323.996,7775.91,24
Japan,Engaged,0.573,0.316,0.125,3571.565,21429.39,6
Japan,Casual,0.427,0.684,0.875,1229.768,15986.98,13
Lebanon,Casual,1.000,1.000,1.000,1693.880,1693.88,1
Lithuania,Casual,1.000,1.000,1.000,415.265,1661.06,4
Malta,Casual,1.000,1.000,1.000,545.118,2725.59,5
Netherlands,Casual,0.011,0.106,0.667,303.205,3032.05,10
Netherlands,Engaged,0.989,0.894,0.333,3362.075,282414.29,84
Norway,Casual,0.232,0.167,0.500,1395.573,8373.44,6
Norway,Engaged,0.768,0.833,0.500,926.400,27792.00,30
Poland,Engaged,0.722,0.684,0.333,407.476,5297.19,13
Poland,Casual,0.278,0.316,0.667,339.577,2037.46,6
Portugal,Casual,0.420,0.456,0.789,539.859,14036.33,26
Portugal,Engaged,0.580,0.544,0.211,625.921,19403.56,31
RSA,Casual,1.000,1.000,1.000,1002.310,1002.31,1
Saudi Arabia,Casual,1.000,1.000,1.000,145.920,145.92,1
Singapore,Engaged,1.000,1.000,1.000,3039.899,21279.29,7
Spain,Casual,0.438,0.544,0.833,550.324,26965.90,49
Spain,Engaged,0.562,0.456,0.167,844.176,34611.21,41
Sweden,Engaged,0.931,0.806,0.375,1231.834,35723.19,29
Sweden,Casual,0.069,0.194,0.625,379.306,2655.14,7
Switzerland,Casual,0.741,0.686,0.857,1194.673,41813.55,35
Switzerland,Engaged,0.259,0.314,0.143,914.400,14630.40,16
United Arab Emirates,Casual,1.000,1.000,1.000,634.093,1902.28,3
United Kingdom,Casual,0.300,0.339,0.743,387.879,2189578.20,5645
United Kingdom,Engaged,0.700,0.661,0.257,465.304,5118813.35,11001
Unspecified,Casual,1.000,1.000,1.000,333.384,2667.07,8
USA,Casual,1.000,1.000,1.000,716.078,3580.39,5
