"Country","totalCountryRevenue","purchaseDate","totalRevenue"
Brazil,1143.60,Apr-2011,537808.62
Switzerland,2076.94,Apr-2011,537808.62
Channel Islands,293.00,Apr-2011,537808.62
Hong Kong,1539.64,Apr-2011,537808.62
Unspecified,299.10,Apr-2011,537808.62
Spain,1785.65,Apr-2011,537808.62
Portugal,1687.75,Apr-2011,537808.62
Greece,609.74,Apr-2011,537808.62
Belgium,1989.48,Apr-2011,537808.62
Italy,737.83,Apr-2011,537808.62
Poland,705.84,Apr-2011,537808.62
Singapore,8209.58,Apr-2011,537808.62
EIRE,7570.50,Apr-2011,537808.62
Australia,771.60,Apr-2011,537808.62
Sweden,809.10,Apr-2011,537808.62
Germany,12315.54,Apr-2011,537808.62
Israel,110.00,Apr-2011,537808.62
France,5529.61,Apr-2011,537808.62
United Kingdom,476517.76,Apr-2011,537808.62
Finland,1688.92,Apr-2011,537808.62
Iceland,636.25,Apr-2011,537808.62
Japan,6548.50,Apr-2011,537808.62
Netherlands,2976.56,Apr-2011,537808.62
USA,383.95,Apr-2011,537808.62
Austria,680.78,Apr-2011,537808.62
European Community,191.40,Apr-2011,537808.62
Hong Kong,2813.95,Aug-2011,759138.38
Unspecified,531.03,Aug-2011,759138.38
Israel,4873.81,Aug-2011,759138.38
Malta,1119.00,Aug-2011,759138.38
Portugal,1221.40,Aug-2011,759138.38
Australia,22489.20,Aug-2011,759138.38
Denmark,213.15,Aug-2011,759138.38
Austria,1516.08,Aug-2011,759138.38
Norway,2025.81,Aug-2011,759138.38
Netherlands,40327.81,Aug-2011,759138.38
Italy,1990.95,Aug-2011,759138.38
EIRE,18353.75,Aug-2011,759138.38
Sweden,1400.86,Aug-2011,759138.38
Finland,1376.50,Aug-2011,759138.38
Spain,3346.91,Aug-2011,759138.38
Poland,401.80,Aug-2011,759138.38
Switzerland,4969.89,Aug-2011,759138.38
France,13810.96,Aug-2011,759138.38
Belgium,3554.02,Aug-2011,759138.38
Iceland,584.91,Aug-2011,759138.38
Channel Islands,4896.78,Aug-2011,759138.38
Germany,19220.77,Aug-2011,759138.38
Canada,51.56,Aug-2011,759138.38
United Kingdom,608047.48,Aug-2011,759138.38
United Kingdom,748268.98,Dec-2010,823746.14
France,9616.31,Dec-2010,823746.14
Australia,1032.85,Dec-2010,823746.14
Netherlands,8784.48,Dec-2010,823746.14
Germany,15241.14,Dec-2010,823746.14
Norway,3787.12,Dec-2010,823746.14
EIRE,10033.26,Dec-2010,823746.14
Switzerland,1304.92,Dec-2010,823746.14
Spain,1843.73,Dec-2010,823746.14
Poland,248.16,Dec-2010,823746.14
Portugal,2439.97,Dec-2010,823746.14
Italy,811.50,Dec-2010,823746.14
Belgium,1809.91,Dec-2010,823746.14
Lithuania,1661.06,Dec-2010,823746.14
Iceland,711.79,Dec-2010,823746.14
